Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp difference,Power,Wear severity,Load factor
L,298.1,308.0,1426,46.0,61,0,9.899999999999975,6869.197056829203,2806.0,0.032258064516129
L,298.1,308.0,1652,28.5,63,0,9.899999999999975,4930.415510543822,1795.5,0.0172518159806295
L,298.0,308.0,1401,54.7,65,0,10.0,8025.167017668591,3555.5,0.0390435403283369
M,298.0,307.9,1750,26.6,67,0,9.899999999999975,4874.704600820162,1782.2,0.0152
H,298.0,308.0,1479,50.7,70,0,10.0,7852.442253574224,3549.0,0.0342799188640973
M,298.0,308.0,1620,29.4,75,0,10.0,4987.592496839155,2205.0,0.0181481481481481
L,298.0,308.1,1819,23.4,78,0,10.100000000000025,4457.35448876627,1825.2,0.0128642111050027
M,298.1,308.1,1456,43.7,80,0,10.0,6663.024802949616,3496.0,0.0300137362637362
L,298.1,308.0,1626,36.5,83,0,9.899999999999975,6215.012746596688,3029.5,0.0224477244772447
M,298.1,308.1,1390,49.8,85,0,10.0,7248.910888893089,4233.0,0.0358273381294964
L,298.2,308.2,1469,43.0,88,0,10.0,6614.832771643548,3784.0,0.0292716133424098
L,298.2,308.3,2051,19.2,90,0,10.100000000000025,4123.780180808106,1728.0,0.0093612871769868
L,298.2,308.3,1568,36.0,92,0,10.100000000000025,5911.2207369945545,3312.0,0.0229591836734693
L,298.2,308.3,1589,33.2,94,0,10.100000000000025,5524.469737386628,3120.8,0.0208936438011327
L,298.2,308.3,1805,31.6,96,0,10.100000000000025,5973.005392515154,3033.6000000000004,0.0175069252077562
H,298.2,308.4,1385,42.2,98,0,10.199999999999989,6120.555527478756,4135.6,0.0304693140794223
L,298.1,308.4,1436,46.7,103,0,10.299999999999956,7022.632442030528,4810.1,0.0325208913649025
L,298.1,308.4,1438,45.6,105,0,10.299999999999956,6866.767558510427,4788.0,0.0317107093184979
L,298.0,308.3,1473,42.6,107,0,10.300000000000011,6571.143689807626,4558.2,0.0289205702647657
L,298.1,308.4,1335,40.2,109,0,10.299999999999956,5619.9950980067815,4381.8,0.0301123595505618
H,298.1,308.5,1392,44.8,111,0,10.399999999999975,6530.491480870174,4972.799999999999,0.032183908045977
M,298.1,308.5,1372,51.1,116,0,10.399999999999975,7341.818255635252,5927.6,0.0372448979591836
M,298.1,308.6,1716,30.7,119,0,10.5,5516.762363409821,3653.3,0.0178904428904428
L,298.0,308.5,1395,46.2,122,0,10.5,6749.083497706953,5636.400000000001,0.0331182795698924
L,298.0,308.5,1713,25.3,124,0,10.5,4538.438995155423,3137.2000000000003,0.0147694103911266
H,297.9,308.5,2129,18.7,126,0,10.600000000000025,4169.13430675043,2356.2,0.0087834664161578
M,297.8,308.3,1567,35.6,131,0,10.5,5841.812483301244,4663.6,0.0227185705169112
L,297.8,308.4,1622,38.3,134,0,10.599999999999966,6505.463459396576,5132.2,0.0236128236744759
L,297.7,308.4,1740,27.1,136,0,10.699999999999989,4937.9553329124365,3685.6,0.0155747126436781
H,297.8,308.4,1512,35.1,138,0,10.599999999999966,5557.603067906488,4843.8,0.0232142857142857
M,297.8,308.4,1479,43.5,143,0,10.599999999999966,6737.302525255991,6220.5,0.0294117647058823
L,297.8,308.4,1737,27.5,146,0,10.599999999999966,5002.200902678348,4015.0,0.015831894070236
L,297.8,308.4,2129,19.2,148,0,10.599999999999966,4280.608486075308,2841.6,0.0090183184593705
L,297.8,308.4,1374,47.1,150,0,10.599999999999966,6776.98084047083,7065.0,0.0342794759825327
M,297.8,308.4,1579,36.6,152,0,10.599999999999966,6051.9012560223055,5563.2,0.023179227359088
L,297.9,308.5,1305,47.2,155,0,10.600000000000025,6450.318036350564,7316.0,0.0361685823754789
M,297.9,308.5,1449,40.8,157,0,10.600000000000025,6190.94814687019,6405.599999999999,0.0281573498964803
H,298.0,308.6,1526,41.8,160,0,10.600000000000025,6679.738075866714,6688.0,0.027391874180865
M,298.0,308.6,1453,44.1,165,0,10.600000000000025,6710.159164728975,7276.5,0.0303509979353062
L,297.9,308.6,1468,36.0,168,0,10.700000000000044,5534.22961856378,6048.0,0.0245231607629427
L,298.0,308.6,1313,50.8,170,0,10.600000000000025,6984.849554383354,8636.0,0.0386900228484386
M,297.9,308.5,1300,53.0,172,0,10.600000000000025,7215.191127744558,9116.0,0.0407692307692307
L,297.9,308.4,1646,40.6,175,0,10.5,6998.169907234576,7105.0,0.0246658566221142
L,297.8,308.4,1714,33.2,177,0,10.599999999999966,5959.056721133215,5876.400000000001,0.019369894982497
L,297.8,308.4,1685,28.4,179,0,10.599999999999966,5011.259161496198,5083.599999999999,0.0168545994065281
L,297.8,308.4,1512,39.9,181,0,10.599999999999966,6317.617162662931,7221.9,0.0263888888888888
L,297.8,308.4,1612,32.1,183,0,10.599999999999966,5418.744672617819,5874.3,0.0199131513647642
H,297.8,308.4,1550,38.2,185,0,10.599999999999966,6200.456700635055,7067.000000000001,0.0246451612903225
L,297.8,308.4,1518,32.5,190,0,10.599999999999966,5166.349118828415,6175.0,0.0214097496706192
L,297.8,308.5,1448,40.0,192,0,10.699999999999989,6065.368216530694,7680.0,0.0276243093922651
L,297.8,308.5,1561,46.3,194,0,10.699999999999989,7568.546997444825,8982.199999999999,0.0296604740550928
M,297.8,308.5,1488,41.9,196,0,10.699999999999989,6528.983516396451,8212.4,0.0281586021505376
L,297.8,308.5,1699,27.8,199,0,10.699999999999989,4946.144417762795,5532.2,0.0163625662154208
L,297.7,308.5,1501,41.4,201,0,10.800000000000011,6507.432190792826,8321.4,0.0275816122584943
L,297.7,308.5,1373,56.7,203,1,10.800000000000011,8152.338688285906,11510.1,0.0412964311726147
H,297.6,308.4,1703,31.4,205,0,10.799999999999956,5599.80512921971,6437.0,0.0184380504991192
H,297.7,308.5,1720,29.9,210,0,10.800000000000011,5385.527566293863,6279.0,0.0173837209302325
M,297.6,308.4,1398,41.9,215,0,10.799999999999956,6134.085319840215,9008.5,0.0299713876967095
M,297.6,308.4,1391,51.9,218,0,10.799999999999956,7560.022809378086,11314.2,0.0373112868439971
M,297.6,308.3,1538,40.2,0,0,10.699999999999989,6474.571131636277,0.0,0.0261378413524057
L,297.5,308.2,1647,31.3,3,0,10.699999999999989,5398.4185681490935,93.9,0.0190042501517911
M,297.5,308.1,1469,44.8,5,0,10.600000000000025,6891.732748130952,224.0,0.0304969366916269
L,297.4,308.1,1749,25.9,8,0,10.700000000000044,4743.71065914098,207.2,0.0148084619782732
M,297.6,308.2,1995,20.5,10,0,10.599999999999966,4282.776185006285,205.0,0.0102756892230576
L,297.6,308.3,1742,27.7,13,0,10.699999999999989,5053.08423169099,360.1,0.0159012629161882
L,297.5,308.2,1563,38.2,15,0,10.699999999999989,6252.460531027478,573.0,0.0244401791426743
M,297.5,308.2,1713,32.2,17,0,10.699999999999989,5776.195084743265,547.4000000000001,0.0187974314068885
L,297.4,308.1,1474,39.4,20,0,10.700000000000044,6081.662610427314,788.0,0.0267299864314789
M,297.4,308.2,1530,32.6,22,0,10.800000000000011,5223.21194585839,717.2,0.0213071895424836
L,297.4,308.2,1471,46.5,25,0,10.800000000000011,7162.988329817408,1162.5,0.031611148878314
L,297.5,308.3,1388,48.6,27,0,10.800000000000011,7064.0595771558665,1312.2,0.035014409221902
M,297.5,308.2,2448,13.8,29,0,10.699999999999989,3537.684655354394,400.2000000000001,0.0056372549019607
L,297.5,308.3,1585,32.9,32,0,10.800000000000011,5460.768710347338,1052.8,0.0207570977917981
M,297.5,308.3,1459,45.2,34,0,10.800000000000011,6905.932746925179,1536.8000000000002,0.0309801233721727
L,297.5,308.3,1544,40.8,37,0,10.800000000000011,6596.84191771399,1509.6,0.0264248704663212
L,297.6,308.3,1617,31.7,39,0,10.699999999999989,5367.819455703128,1236.3,0.019604205318491
L,297.6,308.3,1595,34.3,41,0,10.699999999999989,5729.060722963907,1406.3,0.0215047021943573
H,297.6,308.3,1400,44.3,43,0,10.699999999999989,6494.719212521299,1904.9,0.0316428571428571
M,297.6,308.4,1611,31.0,48,0,10.799999999999956,5229.809290430929,1488.0,0.0192427063935443
M,297.6,308.4,1507,46.0,51,0,10.799999999999956,7259.382864405055,2346.0,0.0305242203052422
H,297.5,308.3,1674,30.0,54,0,10.800000000000011,5259.026102109314,1620.0,0.017921146953405
L,297.6,308.3,1658,34.3,59,0,10.699999999999989,5955.34964180198,2023.7,0.0206875753920386
L,297.6,308.3,1623,36.9,61,0,10.699999999999989,6271.529998434768,2250.9,0.0227356746765249
M,297.6,308.4,1398,48.9,63,0,10.799999999999956,7158.872843441205,3080.7,0.0349785407725321
L,297.6,308.4,1517,34.2,66,0,10.799999999999956,5433.0075032651175,2257.2000000000003,0.0225444957152274
M,297.6,308.3,1467,36.7,68,0,10.699999999999989,5637.996423911851,2495.6000000000004,0.0250170415814587
M,297.6,308.3,1567,34.6,71,0,10.699999999999989,5677.716627028738,2456.6,0.0220804084237396
M,297.5,308.3,1521,38.2,74,0,10.800000000000011,6084.4481559134965,2826.8,0.0251150558842866
L,297.5,308.3,1596,36.8,77,0,10.800000000000011,6150.484433491953,2833.6,0.0230576441102756
H,297.6,308.3,1640,30.9,79,0,10.699999999999989,5306.778310443878,2441.1,0.0188414634146341
L,297.6,308.3,1438,47.8,84,0,10.699999999999989,7198.058975806982,4015.2,0.033240611961057
L,297.6,308.4,1407,55.2,86,0,10.799999999999956,8133.206389025544,4747.2,0.0392324093816631
L,297.6,308.4,1353,57.5,88,0,10.799999999999956,8146.935148921731,5060.0,0.0424981522542498
M,297.6,308.5,1552,40.9,90,0,10.899999999999975,6647.274951779619,3681.0,0.0263530927835051
M,297.6,308.4,1569,38.3,93,0,10.799999999999956,6292.892828479178,3561.9,0.024410452517527
L,297.5,308.4,1489,39.5,96,0,10.899999999999975,6159.1447572403495,3792.0,0.0265278710543989
H,297.5,308.4,1587,36.1,98,0,10.899999999999975,5999.468074633892,3537.8,0.0227473219911783
M,297.5,308.3,1622,37.2,103,0,10.800000000000011,6318.62247231208,3831.6,0.0229346485819975
L,297.5,308.4,1604,38.1,106,0,10.899999999999975,6399.675562774695,4038.6,0.0237531172069825
M,297.4,308.3,1405,51.7,108,0,10.900000000000034,7606.685932259407,5583.6,0.036797153024911
L,297.4,308.3,1412,42.0,111,0,10.900000000000034,6210.300357616303,4662.0,0.0297450424929178
L,297.4,308.3,1431,43.0,113,0,10.900000000000034,6443.720691778025,4859.0,0.0300489168413696
L,297.4,308.2,1533,37.4,115,0,10.800000000000011,6004.023383981596,4301.0,0.0243966079582517
M,297.4,308.2,1401,51.9,117,0,10.800000000000011,7614.372362285188,6072.3,0.0370449678800856
M,297.4,308.2,1424,53.9,120,0,10.800000000000011,8037.618196552318,6468.0,0.0378511235955056
L,297.3,308.2,1754,29.4,123,0,10.899999999999975,5400.146444108567,3616.2,0.0167616875712656
L,297.3,308.2,1754,26.8,125,0,10.899999999999975,4922.582472860871,3350.0,0.015279361459521
L,297.5,308.3,2564,12.8,127,1,10.800000000000011,3436.8185872231384,1625.6,0.0049921996879875
L,297.5,308.5,1546,40.4,129,0,11.0,6540.628353165757,5211.599999999999,0.0261319534282018
L,297.5,308.5,1335,48.0,131,0,11.0,6710.441908067799,6288.0,0.0359550561797752
M,297.5,308.6,1842,27.0,133,0,11.100000000000025,5208.13230112116,3591.0,0.014657980456026
L,297.5,308.5,1712,26.8,136,0,11.0,4804.709916498182,3644.8,0.0156542056074766
M,297.6,308.6,1414,45.4,138,0,11.0,6722.547511759631,6265.2,0.0321074964639321
L,297.6,308.7,1319,50.9,141,0,11.099999999999966,7030.580671444111,7176.9,0.0385898407884761
L,297.7,308.7,1249,60.4,143,0,11.0,7900.016438325085,8637.199999999999,0.0483586869495596
L,297.6,308.7,1455,48.2,145,0,11.099999999999966,7344.101146296859,6989.0,0.033127147766323
M,297.6,308.7,1408,54.8,147,0,11.099999999999966,8080.008753424755,8055.599999999999,0.0389204545454545
L,297.6,308.7,1460,46.7,150,0,11.099999999999966,7140.002343568644,7005.0,0.031986301369863
L,297.6,308.6,1491,38.1,152,0,11.0,5948.825601058024,5791.2,0.0255533199195171
M,297.6,308.5,1490,43.4,154,0,10.899999999999975,6771.807684567919,6683.599999999999,0.0291275167785234
M,297.5,308.4,1350,52.2,157,0,10.899999999999975,7379.601143282425,8195.4,0.0386666666666666
L,297.5,308.4,1528,39.9,160,0,10.899999999999975,6384.470254331321,6384.0,0.0261125654450261
L,297.4,308.3,1571,37.7,162,0,10.900000000000034,6202.205520545554,6107.400000000001,0.0239974538510502
L,297.4,308.3,1490,42.6,164,0,10.900000000000034,6646.9817364652845,6986.400000000001,0.0285906040268456
M,297.4,308.3,1774,28.9,166,0,10.900000000000034,5368.835237327789,4797.4,0.0162908680947012
H,297.4,308.3,1502,43.6,169,0,10.900000000000034,6857.803547472183,7368.400000000001,0.0290279627163781
L,297.4,308.4,1392,49.7,174,0,11.0,7244.76398659035,8647.800000000001,0.0357040229885057
L,297.4,308.5,2100,16.9,176,0,11.100000000000025,3716.5041091967246,2974.4,0.008047619047619
L,297.5,308.5,1722,30.4,178,0,11.0,5481.953516808045,5411.2,0.0176538908246225
L,297.4,308.6,1678,32.3,180,0,11.200000000000044,5675.747895632488,5813.999999999999,0.019249106078665
L,297.3,308.6,1273,59.8,182,0,11.300000000000011,7971.833246386147,10883.6,0.0469756480754124
L,297.3,308.6,1297,45.9,184,0,11.300000000000011,6234.2078777101215,8445.6,0.0353893600616808
L,297.3,308.5,1350,57.6,186,0,11.199999999999989,8143.008158104744,10713.6,0.0426666666666666
L,297.4,308.6,1439,51.9,188,0,11.200000000000044,7820.900663332181,9757.2,0.0360667129951355
M,297.4,308.5,1600,42.1,190,0,11.100000000000025,7053.9227048602825,7999.0,0.0263125
M,297.4,308.6,1434,44.4,193,0,11.200000000000044,6667.46492056669,8569.199999999999,0.0309623430962343
L,297.4,308.6,1459,41.3,196,0,11.200000000000044,6310.066868318802,8094.799999999999,0.0283070596298834
M,297.5,308.6,1472,44.9,198,0,11.100000000000025,6921.221831172648,8890.199999999999,0.0305027173913043
L,297.5,308.7,1429,44.3,201,0,11.199999999999989,6629.252681923525,8904.3,0.0310006997900629
L,297.5,308.6,1388,48.2,203,0,11.100000000000025,7005.919169113431,9784.6,0.0347262247838616
L,297.4,308.4,1573,34.5,205,0,11.0,5682.984030711257,7072.5,0.0219326128417037
L,297.4,308.4,1588,32.5,207,0,11.0,5404.58656172564,6727.5,0.0204659949622166
L,297.5,308.4,1511,42.8,209,0,10.899999999999975,6772.310339392493,8945.199999999999,0.0283256121773659
L,297.4,308.5,1495,37.8,211,0,11.100000000000025,5917.818081567093,7975.799999999999,0.0252842809364548
L,297.4,308.4,1394,50.1,213,0,11.0,7313.564865703967,10671.3,0.0359397417503586
L,297.4,308.4,2151,17.7,0,0,11.0,3986.9638207442704,0.0,0.008228730822873
M,297.3,308.3,1501,38.2,2,0,11.0,6004.442263002076,76.4,0.0254497001998667
M,297.3,308.3,1301,39.6,5,0,11.0,5395.119895862824,198.0,0.0304381245196003
M,297.3,308.3,1657,31.1,8,0,11.0,5396.491724654891,248.8,0.0187688593844296
L,297.3,308.3,1333,55.2,11,0,11.0,7705.4471333127585,607.2,0.041410352588147
L,297.3,308.3,1484,43.9,13,0,11.0,6822.240718633547,570.6999999999999,0.0295822102425876
L,297.3,308.4,1430,45.7,15,0,11.099999999999966,6843.540716824888,685.5,0.0319580419580419
M,297.3,308.4,1665,28.9,17,0,11.099999999999966,5038.957536725348,491.3,0.0173573573573573
L,297.4,308.5,1501,44.9,20,0,11.100000000000025,7057.577424313959,898.0,0.0299133910726182
M,297.5,308.5,1496,42.2,22,0,11.0,6611.083804410267,928.4,0.0282085561497326
M,297.6,308.6,1595,36.9,25,0,11.0,6163.333547445136,922.5,0.0231347962382445
L,297.5,308.6,1208,62.3,28,0,11.100000000000025,7881.041218697402,1744.4,0.0515728476821192
L,297.5,308.6,1596,37.1,30,0,11.100000000000025,6200.624252243247,1113.0,0.0232456140350877
L,297.5,308.5,1446,41.9,32,0,11.0,6344.697691336874,1340.8,0.0289764868603042
M,297.6,308.5,1466,39.7,34,0,10.899999999999975,6094.710691915223,1349.8000000000002,0.0270804911323328
M,297.6,308.5,1848,23.7,37,0,10.899999999999975,4586.473946828812,876.9,0.0128246753246753
M,297.5,308.5,1484,44.7,40,0,11.0,6946.564011911608,1788.0,0.030121293800539
L,297.4,308.3,1493,41.2,43,0,10.900000000000034,6441.479689018465,1771.6,0.0275954454119223
L,297.3,308.3,1504,36.3,45,0,11.0,5717.1959747088495,1633.4999999999998,0.0241356382978723
L,297.3,308.3,1538,38.5,47,0,11.0,6200.770859900414,1809.5,0.0250325097529258
L,297.4,308.4,1341,52.2,49,0,11.0,7330.403802327209,2557.8,0.0389261744966442
M,297.4,308.3,1535,34.6,51,0,10.900000000000034,5561.77091416025,1764.6,0.0225407166123778
L,297.4,308.5,1389,39.2,54,0,11.100000000000025,5701.865002559332,2116.8,0.0282217422606191
H,297.5,308.5,1393,46.6,56,0,11.0,6797.7572398865705,2609.6,0.0334529791816224
L,297.4,308.5,1399,61.5,61,1,11.100000000000025,9009.930650862849,3751.5,0.0439599714081486
H,297.4,308.5,1469,45.1,63,0,11.100000000000025,6937.8827442121865,2841.3,0.0307011572498298
L,297.4,308.4,1582,37.2,68,0,11.0,6162.7994766940255,2529.6000000000004,0.0235145385587863
L,297.5,308.6,1793,26.7,70,0,11.100000000000025,5013.259308818984,1869.0,0.0148912437255995
L,297.5,308.6,1452,39.0,72,0,11.100000000000025,5930.070292916093,2808.0,0.0268595041322314
M,297.6,308.7,1376,59.9,74,0,11.099999999999966,8631.253544374644,4432.599999999999,0.043531976744186
L,297.5,308.6,1552,44.9,77,0,11.100000000000025,7297.375191562466,3457.3,0.028930412371134
L,297.6,308.7,1622,37.9,79,0,11.099999999999966,6437.521282274941,2994.1,0.0233662145499383
M,297.6,308.7,1419,41.7,81,0,11.099999999999966,6196.5087658670445,3377.7000000000003,0.0293868921775898
H,297.5,308.6,1440,46.1,84,0,11.100000000000025,6951.716223863495,3872.4,0.0320138888888888
M,297.4,308.6,1643,31.0,89,0,11.200000000000044,5333.691287509631,2759.0,0.0188679245283018
L,297.4,308.7,1510,36.2,92,0,11.300000000000011,5724.191254350842,3330.4,0.0239735099337748
L,297.4,308.7,1468,46.6,94,0,11.300000000000011,7163.752784029782,4380.400000000001,0.0317438692098092
L,297.4,308.7,1429,57.4,96,0,11.300000000000011,8589.596025788045,5510.4,0.0401679496151154
H,297.3,308.7,1478,47.6,98,0,11.399999999999975,7367.327987982399,4664.8,0.0322056833558863
L,297.4,308.6,1276,53.6,103,0,11.200000000000044,7162.161043751962,5520.8,0.0420062695924764
L,297.3,308.6,1486,42.6,105,0,11.300000000000011,6629.137490192894,4473.0,0.0286675639300134
L,297.4,308.6,1476,42.3,107,0,11.200000000000044,6538.156966944934,4526.099999999999,0.0286585365853658
H,297.3,308.6,1431,42.0,109,0,11.300000000000011,6293.866722201792,4578.0,0.0293501048218029
L,297.4,308.7,1402,40.2,114,0,11.300000000000011,5902.0472864460735,4582.8,0.0286733238231098
L,297.4,308.7,1433,43.4,116,0,11.300000000000011,6512.751954352903,5034.4,0.0302861130495464
L,297.4,308.7,2874,4.2,118,1,11.300000000000011,1264.0512200983892,495.6,0.0014613778705636
L,297.3,308.6,1511,35.7,120,0,11.300000000000011,5648.866334493271,4284.0,0.0236267372600926
M,297.3,308.6,1456,42.9,122,0,11.300000000000011,6541.047232186236,5233.8,0.0294642857142857
L,297.2,308.5,1550,41.5,125,0,11.300000000000011,6736.098248072115,5187.5,0.026774193548387
L,297.2,308.5,2182,16.5,127,0,11.300000000000011,3770.2253435731104,2095.5,0.0075618698441796
L,297.3,308.7,1619,31.6,129,0,11.399999999999975,5357.504559823842,4076.4,0.0195182211241507
M,297.3,308.8,1586,32.7,131,0,11.5,5430.996883966819,4283.700000000001,0.0206179066834804
H,297.3,308.8,1499,44.2,134,0,11.5,6938.291151257154,5922.8,0.029486324216144
H,297.3,308.8,1419,42.4,139,0,11.5,6300.526898627402,5893.599999999999,0.0298801973220577
M,297.4,309.0,1497,41.8,144,0,11.600000000000025,6552.7967887106615,6019.2,0.0279225116900467
M,297.4,309.0,1520,37.0,147,0,11.600000000000025,5889.439027929666,5439.0,0.0243421052631578
L,297.4,309.1,1478,49.8,150,0,11.700000000000044,7707.834743729485,7470.0,0.0336941813261163
L,297.4,309.1,1380,41.1,152,0,11.700000000000044,5939.495070876863,6247.2,0.0297826086956521
L,297.4,309.0,1570,37.9,154,0,11.600000000000025,6231.139588885115,5836.599999999999,0.024140127388535
H,297.4,309.0,1468,41.4,156,0,11.600000000000025,6364.364061348347,6458.4,0.0282016348773841
L,297.4,309.0,1833,22.6,161,0,11.600000000000025,4338.0996316360015,3638.6,0.012329514457174
M,297.4,308.9,1323,57.3,163,0,11.5,7938.584724135655,9339.9,0.0433106575963718
L,297.4,309.0,1583,32.0,166,0,11.600000000000025,5304.683915341486,5312.0,0.0202147820593809
M,297.3,309.0,1556,39.5,168,0,11.699999999999989,6436.2855891645295,6636.0,0.0253856041131105
L,297.3,309.0,1548,37.4,171,0,11.699999999999989,6062.771166603726,6395.4,0.0241602067183462
L,297.4,309.0,1324,56.9,173,0,11.600000000000025,7889.125583792641,9843.7,0.0429758308157099
L,297.4,309.0,1568,33.7,175,0,11.600000000000025,5533.559412131014,5897.500000000001,0.0214923469387755
M,297.4,309.0,1685,30.7,177,0,11.600000000000025,5417.10057246244,5433.9,0.0182195845697329
M,297.4,309.1,1582,35.9,180,0,11.700000000000044,5947.4328283149325,6462.0,0.0226927939317319
M,297.4,309.1,1463,35.0,183,0,11.700000000000044,5362.175060902179,6405.0,0.0239234449760765
L,297.4,309.2,1584,42.8,186,0,11.800000000000011,7099.496742288358,7960.799999999999,0.027020202020202
M,297.5,309.2,1347,55.8,188,0,11.699999999999989,7871.009066156939,10490.4,0.0414253897550111
L,297.4,309.2,1459,37.9,191,0,11.800000000000011,5790.5940510722185,7238.9,0.0259766963673749
